voc,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABM,1557.477274,1611.989898,1265.059687,1557.016116,1555.823413,1541.729266,1021.826157,1189.177605,1260.482156,1331.519645,1481.696964,1345.762861,1189.835776,1187.740351,1185.75184,592.509452,615.5951143,638.6807766,631.2763,607.1682,610.2332,32.6,28,31.428,23.115,102,31.979,89.697
ALI,1241.887635,544.5027759,625.726538,622.1869361,633.9384754,705.5147092,664.5571493,980.3683141,1051.58636,1123.513372,967.1052253,1025.406324,1096.229823,1132.577953,1168.696266,1113.034723,1248.028628,1379.658381,1442.065302,1492.871305,1556.584,1230.381,1219.184,1578.553,1454.842,1415.906,1468.514,1323.8494
ASI,45.7441,45.6727,45.7502,45.7973,45.9228,45.8685,2.119397894,2.053296552,2.049023942,1.978222701,2.0412,2.196410316,2.154911725,1.709712843,1.495203234,1.5699,1.400720377,1.462696641,1.201140547,1.392009146,1.3242,,,,,,,
API,7032.7441,6487.908106,7087.083851,6475.038194,6867.681064,6136.692345,6675.741457,6664.093528,6368.980254,5887.417245,5563.425847,6013.840314,7492.104231,8039.745053,7624.622062,10064.00213,8455.522436,7835.893785,7202.674722,6508.520808,6411.559708,6287.897,4673.429535,4563.151189,4488.760656,4490.340724,4686.184268,640.079
BAK,4619.625233,4965.442046,6081.657929,5280.863365,5238.563123,5579.104357,5468.066548,5510.472657,6197.368137,4371.000823,5939.82572,6259.581514,6511.266161,6519.80881,6531.218823,7217.577251,7187.921409,7376.246195,7208.512862,7726.937268,7973.241658,7486.259094,7844.248094,8579.026893,9051.77636,9867.469698,9351.108982,8062.917
CACI,1085.765045,1155.342018,1270.34045,1308.885084,1214.871115,1173.95362,1067.932463,1157.676865,1307.946363,1369.859102,1391.409288,1404.128771,1616.537763,1675.865542,1668.466346,1667.674753,679.2084667,786.9792966,826.5154011,867.6750109,1269.712065,927.9153058,397.419,301.747,263.304,329.5521,372.1527,418.7403
CHI,44085.32215,47336.56606,49563.10603,46455.34004,47837.39861,47026.76638,46861.6752,45541.67826,46875.94809,46760.85553,39547.13436,40326.07781,39591.63354,37968.00701,36794.73637,36178.83647,33954.95645,32931.5738,30406.59833,27050.67101,25342.91277,13635.27873,13511.45,13522.816,11908.0543,11818.6297,11974.1973,10399.9062
MPI,115.1049939,121.6139011,131.5432468,127.3927396,125.8631774,224.9093623,200.3272422,181.7244378,365.2641147,372.7768005,234.2216185,347.9110974,329.6147492,335.7855762,386.3446594,329.9258809,371.4248609,432.5551112,489.8359993,228.063397,219.7774706,281.0819128,269.981,225.1,194.341,114.8647,94.601,71.5712
FOU,1745.302496,1654.091015,1771.367258,1887.244446,1817.035902,1802.71218,1758.800955,1723.383337,2585.445266,2673.691221,1740.139619,1931.510477,1123.056848,1120.747937,1193.660852,1199.113978,1020.276738,926.0157969,998.1559829,816.959373,792.9104644,594.2446347,403.0929062,579.3409816,398.2570621,398.0196863,427.125507,387.7573569
GRI,1861.877625,1904.557466,1979.689417,2056.208808,2071.402611,2040.449283,1676.05245,1989.728618,2020.28868,2090.054406,2084.07551,2110.615811,1925.229855,1929.425377,2381.738434,2170.720879,2131.357406,2091.99719,1875.816516,2110.05325,2031.282,2207.7,2462.612,2264.915,2479.076,2751.023,2907.275,2270.2387
IASI,7082.502984,6991.143713,7114.059166,7314.068911,7276.418825,5731.45398,5446.992729,5350.087992,5321.4382,5524.253474,5266.732587,5026.368736,4812.906878,4599.866108,4560.22955,4173.033204,2755.139408,1591.579759,2351.752157,2410.532866,2239.982712,1892.8462,1506.349,1126.427,643.987,1142.562,1479.5117,1312.5729
IOMI,686.0325079,663.149346,689.5683972,651.4150887,680.542018,574.91192,883.33518,666.56917,926.08816,704.45634,850.42948,1486.50361,2133.4187,2495.550875,2621.73593,3231.489,2203.82325,1176.1575,1408.9,1508.2,1607.5,21.851,31.33,59.49,40.133,49.13,37.705,174.908
MARQ,3317.757966,3013.082264,3002.928575,3132.488909,3135.682192,3092.226622,2877.719562,2750.613861,3127.538693,3327.002472,3377.85485,3461.214555,3377.718902,3274.647223,2912.429641,2770.818665,3124.176131,3269.19149,3410.938403,4616.285743,4281.73257,2827.843,2886.109,2466.563,2350.419059,2401.613835,2551.86854,1781.186
NSRI,61.99109903,65.09822828,68.84656173,72.15423081,73.90849706,333.9160661,49.52583164,42.05750132,39.94059059,34.11560664,68.83904053,34.2333291,33.69874045,36.16187415,38.03088098,37.326713,37.042173,39.138807,48.17584,43.55941563,51.40209126,70.11672319,64.717,66.864,67.569,73.1318,72.7506,65.1434
PAPI,20491.14866,20858.07976,20695.34685,20240.79032,21849.80336,23481.92123,23270.90483,22511.23983,25523.50128,27278.04918,24740.61963,25269.16682,24432.12652,24142.35246,25042.01237,23739.87105,22943.86723,21826.86553,22855.26886,19030.63032,17786.7967,18258.38042,18249.81,17741.762,15789.042,17199.4701,17977.8315,16521.7378
WOI,58058.0081,57566.00933,76200.47306,79205.57334,78796.56524,75765.38769,69560.59761,74822.02663,65100.88831,63919.7702,66518.15398,80140.30824,60384.71169,55120.5417,55709.46407,60543.42403,59706.41335,67268.49011,76428.7663,90905.28947,75806.57407,70012.173,70100.58119,60204.35958,55512.81008,57215.72398,31237.1085,60103.4863
UPI,503728.6604,478027.2015,496133.6527,518569.7536,500285.2173,431173.443,437194.8153,464053.2584,493078.0614,508302.5104,534684.9256,570094.2343,567604.2975,581590.6405,549754.1332,559656.7177,554823.297,535420.268,573073.4674,567438.0478,565179.1205,679303.3216,595802.9112,574831.1524,550680.9118,516365.1154,516482.2449,566495.2649
DPI,117233.2551,109774.3409,102576.3167,113830.8804,112148.5893,119448.2477,112186.9777,107005.7946,103358.5077,100946.0521,89761.09811,85076.82475,82467.91082,79592.75431,79283.44618,75860.73079,66207.89252,58926.75114,58917.33237,55877.49239,54003.74909,42514.8232,46341.09501,45527.25133,42628.28713,40883.42205,41670.92232,39747.56422
PPTD,1369.808761,1372.607009,1380.429945,1388.494828,1396.80914,1409.396125,1417.434448,1427.091436,1437.145464,1471.856537,1481.029545,1682.83271,1972.133891,2133.573304,2262.675069,2634.898221,2350.078372,2486.183786,2113.250908,1828.960396,1483.0053,350.995,327.171,331.316,175.399,165.786,645.8051,306.837
OTI,65704.91778,69504.19231,71794.96189,76535.855,75328.90266,73738.00636,73323.10235,73344.47883,82402.61248,81277.49782,80793.85993,82297.94189,83548.83039,94677.19459,93757.03143,90199.90026,75490.74087,74394.54413,69983.03337,68008.76499,66016.00288,55747.29938,52884.66675,47676.447,42385.36178,45010.8311,46515.5441,46701.212
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,70.442,97.463,102.878
CFC,1543.786925,1467.821702,1290.326009,1375.746451,1442.127378,1323.261158,1348.285679,1313.741299,1365.172225,1290.498166,1272.388172,1258.977247,1287.805539,1182.886082,1323.987653,1511.252819,1512.004985,1532.973554,1592.080946,1450.808336,879.6830916,1218.878147,761.0848,1213.0797,1498.084,1309.7484,1308.2217,1303.0585
EPGU,2274.506575,2126.773923,2396.244304,2546.578374,2625.477348,2537.402186,2857.215829,3442.542646,3564.657439,3768.4607,3599.925817,3690.271012,3898.328032,3980.326751,4020.640418,3645.310774,4011.895696,4425.81266,4707.378084,3936.594732,3311.812433,2049.713362,2069.001936,1795.670536,1895.55675,1846.111344,1663.926331,1205.812757
RFC,1645.483488,1558.556541,1470.246538,1541.29565,1636.855911,1603.735125,1594.167092,1651.157189,1732.990375,1765.603779,1759.470161,1954.786091,1832.989429,1607.155738,1692.579571,1789.862484,1786.410896,1744.392976,1707.792812,1721.51021,1691.756224,1634.931822,1810.399523,1807.669436,1769.773439,1769.802143,1872.8134,1872.81
RFWC,132144.6344,98809.06845,132009.6391,133510.9752,94492.60199,128832.3623,127822.1674,121518.6009,127287.1488,129458.0542,124721.8119,122930.8505,93849.18883,94016.52009,123267.8893,123112.3954,126109.374,127801.0557,130004.3432,134743.7431,138232.9321,157062.835,155295.8781,153548.7994,151821.3755,150113.385,148424.6094,146754.67
AIT,7394.26,7500.94,8078.7,8612.58,9019.97,8592.29,7525.8,7662.3,7383.68,7774.32,8304.49,11720,11807,10076.45,8790.01,9161.36,7986.5,6529.63,9507.31,10278.64,10677.16,10517.06,10996.18,11470.38,11949.85,12423.77,12619.98,12810.55
HDDV,22482.71,22834.53,23568.16,23383.41,22441.57,20580.92,18221.82,16485.75,16862.29,17839.28,16357.79,13768.98,13280.43,14063.63,11965.21,11763.41,11955.88,11368.86,10306.66,10430.88,10269.71,9830.48,9418.29,8966.58,8572.81,8187.7,7822.58,7361.34
HDGT,49156.38,46708.24,47602.01,45554.17,42730.1,38148.19,30678.14,25259.3,22761.85,19560.65,14725.96,13583.53,12818.9,12053.6,9162.58,10250.99,10701.57,9645.34,9457.94,9115.47,8632.05,8303.72,8122.07,7969.01,6854.54,6539.82,5815.65,5570.63
LDDT,1351.67,1354.99,1269.67,1226.43,1196.89,1150.01,1183.23,1317.35,1471.97,1622.35,1797.23,1650.45,1716.69,1799.7,1851.48,2000.27,2072.74,2055.28,2067.56,2070.58,2057.44,2016.04,1965.27,1900.46,1830.48,1752.37,1653.78,1552.93
LDDV,688.81,648.04,610.71,587.12,562.32,533.8,531.92,540.72,517.22,502.29,479.14,454.28,455.47,469.09,482.88,503.29,504.36,495.72,477.63,470.83,446.71,424.17,405.56,381.01,358.75,335.72,307.12,279.93
LDGT,268757.32,264098.93,253473.79,244749.15,232085.98,204888.02,201607.27,205221.1,203443.98,206663.96,191719.34,181259.8,177607.59,173191.71,176136.76,178717.76,167862.25,154533.19,146203.58,133859.28,125684.26,118003.76,112942.71,105689.2,100125.82,93858.15,86614.71,72828.64
LDGV,467806.46,467655.19,456685.9,456018.82,446270.22,407333.14,395943.19,386207.84,347155.59,326473.76,300372.14,269140.02,248508.55,222524.08,223521.04,214255.1,199714.32,178206.96,161887.78,142995.03,123025.15,116472.6,111333.5,105556.84,99614.72,92732.44,85296.64,76723.86
MAT,4194.3,4316.46,4464.07,4732.91,4881.62,4600.06,4161.46,4181.13,3959.66,3963.9,3795.57,3386.49,3504.89,3382.24,3295.71,3283.93,3336.01,3392.58,3469.96,3546.97,3624.31,3698.08,3778.25,3859.25,3941.11,4023.86,4107.89,4192.16
MOT,4852.84,4131.43,3722.83,3156.45,2712.44,2429.68,2413.89,2183.44,2190.13,2104.56,2061.75,1901.95,2019.58,2406.41,2355.04,2626.76,3016.56,3160.2,3406.61,3501.84,3622.07,3595.56,3553.63,3480.46,3363.66,3246.42,3076.51,2918.82
ORUD,42513.09,44591.13,46669.2,47791.17,48829.42,49809.06,50707.52,51566.13,52344.99,53069.64,53714.47,53428.3,52746.26,51652.42,50049.98,48209.55,46105.63,44218.15,43421.61,42092.62,40846.83,39889.91,39648.99,37338.43,36274.12,38282.75,39006.89,39000.57
ORUG,217839.62,222894.58,227949.53,233363.79,238866.58,244509.06,248183.16,251878.4,255531.44,260042.87,264554.12,258942.96,252484.89,253686.29,256709.03,261793.62,263383.27,265777.55,267004.22,264691.81,260170.25,256531.31,248768.58,240509.15,233867.49,227321.04,221150.77,214365.79
RAT,2212.23,2173.54,2160.48,2173.45,2021.55,2215.82,2239.08,2177.65,2170.84,2306.56,2307.48,2231.58,2368.53,2217.34,2084.38,2123.98,2156.2,2183.48,1894.04,3007.84,2970.65,2931.71,2895.31,2859.11,2821.69,2786.84,2755.11,2719.78
TWBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRE,0.838742084,0.853223195,0.874016195,0.883143841,0.916836721,0.941367721,0.966874739,1.002692247,1.051875683,1.094034815,1.116369549,1.146869716,1.189595835,1.216766768,1.292858477,1.330791,1.400934974,1.518173248,1.620419451,1.759858314,1.800737138,1.859073728,1.97659004,2.002155467,2.183234826,2.204728733,2.247225733,2.043132
ICI,18.83219289,19.05362189,47.58214957,49.78403912,21.11560565,21.91227488,22.16656644,21.29729118,21.52023042,21.74688907,22.02361091,19.94265233,18.46128867,17.50947112,16.57869147,16.935,18.4759,20.0168,22.3245,21.1245,19.9245,723.0146101,720.3573565,633.3361838,636.8965634,712.3412441,652.5037254,651.5897254
MUI,6367.067859,3967.084381,3982.642566,4014.935484,4047.654218,4081.364581,4059.428174,4060.779448,4039.91985,4116.73794,4127.420778,4084.154884,4085.45337,4087.345084,4101.75284,4106.068322,4041.932691,4022.582488,4040.665633,4038.475751,4023.157381,685.7348814,688.1522405,628.0923621,634.3277229,470.4304954,396.3684374,242.5571
OIU,90.19804456,90.19849956,90.19639356,90.19671856,90.19718656,90.19786256,90.19809656,90.19859056,90.19855156,90.19892856,90.19903256,90.19970156,90.20442656,90.20370456,90.20516656,90.20631656,74.71515001,59.61958436,43.17476343,26.73153954,26.74897358,106.9655,106.9655,87.9635,124.8144,126.4546,134.25,134.25
CIS,320.4607861,319.2686592,291.5158186,291.5158186,277.7704498,290.7770593,238.7770593,243.9770593,229.9750345,175.3750345,224.7750345,158.6677652,145.6610596,133.8659066,123.4659066,122.9497879,97.1797147,71.75398551,43.01998275,13.44154861,16.58511367,8.675720756,9.069052237,8.267085124,7.975742019,8.060857636,8.016064062,7.89
DRC,700.6402795,700.6402795,700.6402795,700.6402795,700.6402795,744.7126425,744.5624175,744.3821945,744.2319695,744.0817385,729.6618235,744.7386865,745.3032475,745.3933635,808.4064195,793.5064195,802.046702,311.0191539,195.8923266,212.8574248,213.797585,221.3907445,187.694,205.0669206,250.0434344,427.4641254,278.9619837,284.5595476
GSU,165464.29,166285.91,167052.89,161179.09,164136.81,189080.51,188807.36,195952.32,199768.83,209750.97,225345.14,230913.92,234497.11,235525.98,244875.4,257523.16,244670.8,237530.33,243544.48,242488.45,242086.86,225090.6452,227847.6298,227943.2341,223025.6207,229883.4225,229883.2133,229883.0727
MCHI,0.246,0.2963,0.3466,0.3969,0.4472,0.338,0.364216343,0.453148877,0.54650028,0.681330547,0.749,0.709669686,0.787852222,0.906683433,1.002861854,0.92,1.046480998,1.233928093,1.383568445,1.678457984,1.882,,,,15.963,19.2286,17.321,9.9989
MEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPPR,125135.4384,123244.7511,124095.85,122499.7729,119155.4054,115094.7721,106554.6881,102759.8883,102290.6694,103575.746,95607.99564,90997.25558,90514.66405,90428.88796,87969.40915,91923.89673,90357.35326,87990.10134,86649.24254,84936.95992,82012.82872,47180.5011,74626.49901,71713.32246,51128.11,51135.35384,53683.43516,53683.43516
PRI,34647.06389,34234.13725,35595.86296,35610.50736,35000.51429,37596.77971,35329.69159,35101.89206,36015.96275,38066.99355,39552.51823,39250.56498,42279.08892,46243.90655,50560.2629,49813.28825,46422.33036,48590.61627,47833.71759,47445.75821,47264.22184,41511.63982,39382.64475,35170.00707,22702.33788,28857.8729,28153.38214,27788.85809
STF,686.6890057,675.3318554,673.720421,686.3209438,665.8204863,673.6939969,673.6705609,661.7937618,643.2414531,655.8409345,654.6690746,623.5110972,604.9181932,696.5539559,693.2346516,700.6809806,823.1357362,1013.058427,868.0094692,647.633485,648.4931354,297.0785851,279.9061785,265.9300895,265.9300895,265.9300895,305.6953902,305.6953902
SUC,137108.7201,135250.2812,140742.5867,140668.2725,140344.6021,130587.5804,125610.806,121239.5243,115917.817,114721.503,110687.4987,103113.3687,98557.19062,96158.53901,94374.04613,88820.1759,81056.65806,80717.43636,79541.17253,78361.59098,77002.13672,81630.23184,85869.09129,90263.91558,91564.42345,93321.4,93313.04,93313.02401
HUM,3795.373255,3882.155057,4088.707095,4345.611426,4188.688692,3826.324408,3518.908353,3429.704907,55177.23849,54012.19195,3461.389928,49364.40678,46611.57025,47808,44820,2370,2781.38881,2897.159535,2506.982017,2891.100247,2778.096367,,,,,,,
OMS,320.7156478,320.7235535,320.7372308,320.7299556,320.7277731,317.8283195,316.9944644,317.0419892,320.3402439,321.1246622,320.210049,320.9650383,322.2931423,322.2812219,323.4856559,326.294486,329.4780422,331.8436214,334.4158161,327.8480578,333.6675,,,,,,,
AGR,220093.9757,214847.5145,210877.9168,214966.9521,219861.1365,222487.9415,225504.0629,232955.5634,234821.1129,242169.6086,256585.0845,265576.4293,264317.5856,260784.7736,255507.2897,266340.3012,260626.6634,245796.564,283038.6667,300547.7815,300547.7651,291067.2839,291067.2839,312897.9456,257380.9129,251684.8672,252051.2624,252090.3391
COO,,,,,,,,,,,,,,,,,,,,32.38447383,32.97928936,32.73295606,33.77867799,33.87960861,29.14680489,22.33934633,19.77615333,19.77615333
DFPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,12196.95431,12351.23884,12517.43075,12828.25814,13632.18506,14021.87757,13939.08438,13944.80923,14063.5937,14060.68674,13866.06719,13522.58431,13573.84138,13626.87009,13538.35202,13355.49203,13060.77319,13110.1652,13084.91332,13084.32352,13251.7335,18364.20288,18285.89316,18134.65423,18284.75623,18590.36419,15054.70137,13556.35891
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRB,87237.81577,14345.81135,104400.7516,14345.81135,14345.81135,84576.79395,43962.21265,26833.2362,45521.6436,38799.7686,38804.7704,19152.09685,21195.36795,18844.04342,17753.13289,13955.78283,10295.03027,7251.973261,5013.282775,3330.775134,1336.071878,1063.34416,560.65055,1374.9,4250.12,1304.31,1975.32,6262.57475
BIO,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68
FOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
